Name;Age;Nationality;Overall;Club;Value;Preferred Foot;Number;Position
Raúl Albiol;35;Spain;82;Villarreal CF;8M;Right;3;CB
J. Pereyra;22;Argentina;64;Atlético Tucumán;1.2M;Left;22;CM
Xie Pengfei;28;China PR;66;Shijiazhuang Ever Bright F.C.;850K;Left;11;RM
A. Vacca;31;Italy;67;Venezia FC;825K;Right;5;CM
T. Kalas;28;Czech Republic;72;Bristol City;2.2M;Right;22;CB
Andrés Martín;21;Spain;69;Rayo Vallecano;3.2M;Left;11;ST
J. Marquis;29;England;65;Portsmouth;725K;Right;9;ST
M. Nakajima;22;Japan;64;Cerezo Osaka;1.2M;Right;28;CAM
P. Sander;23;Germany;65;Holstein Kiel;1.4M;Right;16;RM
Thiago Andrade;20;Brazil;66;New York City FC;1.9M;Right;8;LW
Carlos Ponck;26;Cape Verde Islands;71;İstanbul Başakşehir FK;2.3M;Right;26;CB
R. McGowan;31;Australia;67;;0;Right;21;CB
A. Cornelius;28;Denmark;73;Trabzonspor;3.1M;Left;14;ST
21 S. Souprayen;31;France;67;AJ Auxerre;700K;Left;26;CB
R. Koch;24;Germany;77;Leeds United;19.5M;Right;5;CB
C. Booth;30;Scotland;66;St. Johnstone FC;725K;Left;24;LWB
A. O'Brien;27;Republic of Ireland;65;Sunderland;775K;Right;10;RM
J. Lonwijk;21;Netherlands;64;Viborg FF;1.3M;Right;8;CAM
D. Kopacz;22;Poland;67;FC Würzburger Kickers;2.1M;Right;29;RM
21 C. Taylor;33;England;62;Barrow;240K;Right;28;CM
V. Oliver;29;England;67;Gillingham;1M;Right;19;ST
Marcelo;34;Brazil;77;Olympique Lyonnais;3.4M;Right;6;CB
F. Pellistri;19;Uruguay;70;Deportivo Alavés;4.1M;Right;18;RM
I. Pussetto;25;Argentina;74;Udinese Calcio;6M;Right;23;ST
A. Christensen;25;Denmark;80;Chelsea;28M;Right;4;CB
G. Thomson;29;England;64;Harrogate Town;575K;Right;7;RM
L. Boyce;30;Northern Ireland;67;Heart of Midlothian;1M;Right;10;ST
B. Waine;20;New Zealand;64;Wellington Phoenix;1.4M;Right;18;ST
R. Gergel;33;Slovakia;65;Bruk-Bet Termalica Nieciecza;450K;Right;7;ST
H. Mendyl;23;Morocco;67;Gazişehir Gaziantep F.K.;1.4M;Left;27;LB
19 P. Mlapa;27;Togo;69;VVV-Venlo;1.1M;Right;26;ST
S. Adekugbe;26;Canada;68;Atakaş Hatayspor;1.5M;Left;23;LWB
20 A. Richards;28;Wales;68;Cardiff City;775K;Right;21;RB
David Simón;31;Spain;65;FC Cartagena;525K;Right;15;RB
21 L. Gassama;30;Senegal;68;Göztepe SK;1M;Right;20;RB
J. Ward;25;England;68;Peterborough United;1.4M;Right;23;RM
21 G. Jara;34;Chile;70;Club Tijuana;525K;Right;90;CB
R. Amaral;24;Uruguay;71;Centro Atlético Fénix;2.7M;Left;18;CAM
A. Slimane;20;Tunisia;65;Brøndby IF;1.6M;Right;25;CAM
J. O'Connell;27;England;76;Sheffield United;8.5M;Left;5;CB
21 C. Lepoint;35;Belgium;67;Royal Excel Mouscron;275K;Right;54;CDM
H. Mier;31;Mexico;74;Club Deportivo Guadalajara;2.9M;Right;21;CB
C. Colkett;24;England;63;Östersunds FK;625K;Left;22;CM
21 Chong Te Se;36;Korea DPR;65;Shimizu S-Pulse;240K;Right;9;ST
Chen Binbin;23;China PR;65;Shanghai Port FC;1.6M;Left;17;LM
A. Toșca;29;Romania;70;Gazişehir Gaziantep F.K.;1.5M;Left;6;CB
G. Bergessio;36;Argentina;75;Club Nacional de Football;1.9M;Right;9;ST
F. Koch;32;Austria;68;WSG Tirol;825K;Right;24;RB
S. Kaikai;25;Sierra Leone;67;Wycombe Wanderers;1.2M;Right;16;LM
Welinton Júnior;28;Brazil;68;Shonan Bellmare;1.2M;Right;39;RW
M. Broberg;30;Sweden;63;Örebro SK;475K;Right;10;RM
S. Diarra;22;Côte d'Ivoire;68;FC Lorient;1.9M;Left;7;LM
Gumbau;26;Spain;70;Elche CF;2.1M;Left;2;CM
P. Baysse;33;France;74;FC Girondins de Bordeaux;2M;Right;24;CB
19 Joan Román;25;Spain;66;Miedź Legnica;775K;Right;33;CAM
R. Pereira de Sa;24;France;62;FC Nantes;575K;Left;6;CAM
M. Léris;22;France;64;U.C. Sampdoria;1.3M;Right;26;CM
A. Obispo;22;Netherlands;71;PSV;3.9M;Left;4;CB
J. Vuković;29;Croatia;71;Hajduk Split;1.6M;Right;4;CDM
R. Villagra;20;Argentina;66;Club Atlético Talleres;1.9M;Right;18;CDM
F. Zampedri;33;Argentina;75;Universidad Católica;3.6M;Right;9;ST
19 M. Sperduti;32;Argentina;73;Patronato;3.1M;Right;14;RW
H. Balić;25;Austria;70;LASK Linz;2.1M;Right;14;RM
S. Abdulhamid;21;Saudi Arabia;69;Al Ittihad;3M;Right;66;RWB
L. Schlüter;29;Germany;64;Eintracht Braunschweig;525K;Left;3;LB
D. Charles;25;Northern Ireland;66;Accrington Stanley;1.2M;Right;32;ST
A. Nabbout;28;Australia;67;Melbourne City FC;1M;Right;15;RW
21 B. Pringle;31;England;62;Morecambe;325K;Left;18;LM
20 S. Sutter;33;Switzerland;65;Vancouver Whitecaps FC;240K;Right;23;RB
D. Musto;34;Argentina;72;Club Atlético Peñarol;800K;Right;46;CDM
V. Jacob;27;France;68;Dijon FCO;1.3M;Right;11;LM
12 Rivaldo;39;Brazil;75;São Paulo;375K;Left;10;CAM
16 Marinho;25;Brazil;70;Cruzeiro;1.6M;Left;37;CAM
David Costas;26;Spain;70;Real Oviedo;2.1M;Right;4;CB
Kiko Bondoso;25;Portugal;70;FC Vizela;2.1M;Right;10;RM
Lisandro Semedo;25;Cape Verde Islands;71;Fortuna Sittard;2.5M;Right;7;RM
19 I. Uche;34;Nigeria;68;Gimnàstic de Tarragona;475K;Right;8;ST
K. Rekik;26;Netherlands;74;Sevilla FC;4.9M;Left;4;CB
21 R. Ghoochannejhad;32;Iran;67;PEC Zwolle;825K;Left;8;ST
N. Bätzner;21;Germany;69;KV Oostende;3.1M;Right;34;CAM
N. Adams;34;Wales;64;Oldham Athletic;210K;Right;7;RWB
L. Bolton;21;England;64;Manchester City;1.1M;Right;74;RM
A. Corzo;32;Peru;69;Club Universitario de Deportes;975K;Right;29;RB
S. Savić;30;Montenegro;84;Atlético de Madrid;34.5M;Right;15;CB
L. Dos Santos;28;France;68;Valenciennes FC;1.1M;Right;11;RWB
K. Hause;25;England;75;Aston Villa;6M;Left;30;CB
21 Kim In Seong;30;Korea Republic;71;Ulsan Hyundai FC;1.8M;Right;7;LM
Carlinhos Junior;26;Brazil;69;Shimizu S-Pulse;1.7M;Right;10;RM
J. Brown;32;England;62;Bristol Rovers;275K;Left;39;LB
J. Allevinah;26;Gabon;72;Clermont Foot 63;2.8M;Right;11;RW
R. Gojani;28;Sweden;65;Silkeborg IF;725K;Right;22;CM
M. Oyola;38;Ecuador;65;Barcelona Sporting Club;230K;Left;18;CM
B. Innocent;25;Nigeria;66;Malmö FF;1.1M;Right;20;CDM
B. Morris;25;England;63;Burton Albion;650K;Right;7;CM
Dani Ramírez;29;Spain;68;Lech Poznań;1.2M;Left;10;CAM
U. Akyol;23;Germany;66;Antalyaspor;1.7M;Right;19;CDM
L. Sibley;19;England;68;Derby County;2.9M;Left;17;CAM
S. O'Keefe;30;England;64;Gillingham;500K;Right;4;CDM
M. Miranda;21;Argentina;67;Gimnasia y Esgrima La Plata;2.5M;Left;22;CAM
A. Kawaya;24;Belgium;65;FC Cartagena;975K;Left;11;LM
A. Cambiaso;21;Italy;64;Genoa;1.4M;Left;50;LM
A. Čolak;27;Croatia;72;Malmö FF;2.5M;Right;9;ST
D. Irandust;23;Sweden;69;FC Groningen;2M;Left;10;CAM
Leôncio Lobeiro;21;Brazil;70;Flamengo;1.9M;Right;10;RW
L. Díaz;22;Costa Rica;69;Columbus Crew;3.1M;Right;12;RM
M. Raynov;29;Bulgaria;64;Campionii FC Arges;500K;Right;71;CB
K. Çalhanoğlu;18;Germany;64;FC Schalke 04;1.4M;Left;42;LM
D. Caicedo;21;Colombia;70;Vancouver Whitecaps FC;3.6M;Right;7;RM
18 E. Ben Nabouhane;28;Comoros;71;Olympiacos CFP;2.4M;Left;31;LW
F. Jensen;28;Norway;66;Vålerenga Fotball;825K;Right;7;CDM
P. Płacheta;23;Poland;69;Norwich City;3.1M;Left;11;LM
S. Kavanagh;27;Republic of Ireland;63;Shamrock Rovers;500K;Left;11;LWB
H. Silva;29;Argentina;67;Defensa y Justicia;900K;Right;27;RB
J. McEachran;28;England;64;Milton Keynes Dons;575K;Left;16;CM
S. Ingelsson;23;Sweden;67;F.C. Hansa Rostock;2M;Left;14;CM
Rodrigo Pinho;30;Brazil;73;SL Benfica;3M;Left;18;ST
J. Evans;33;Northern Ireland;80;Leicester City;10M;Right;6;CB
G. Maroni;22;Argentina;69;Club Atlas;3.1M;Right;10;CAM
21 J. O'Toole;31;Republic of Ireland;63;Burton Albion;325K;Right;21;CB
21 Gabrielzinho;24;Brazil;69;Rio Ave FC;1.9M;Right;70;RM
Tiago Pombeira;21;Brazil;70;Clube Atlético Mineiro;1.9M;Left;26;CAM
I. Sacko;23;France;66;OGC Nice;1.4M;Right;12;ST
A. Benchaib;23;Belgium;67;Royal Charleroi S.C.;1.6M;Right;34;CAM
J. Torres;24;Argentina;69;Club de Foot Montréal;2.1M;Left;18;CAM
Rafanilton Vilela;33;Brazil;71;São Paulo;1.2M;Right;9;ST
20 A. Gordyushenko;22;Russia;62;PFC CSKA Moscow;500K;Right;72;CAM
J. Nardoni;18;Argentina;65;Unión de Santa Fe;1.5M;Right;30;CAM
S. Nicholson;26;Scotland;65;Bristol Rovers;775K;Left;11;RM
B. Fadiga;20;France;64;Paris Saint-Germain;1.4M;Right;37;CAM
E. Cetré;23;Colombia;69;Junior FC;2.2M;Right;18;RM
19 Javi Álamo;29;Spain;65;Extremadura UD;525K;Right;17;RM
21 M. McGlinchey;33;New Zealand;58;Central Coast Mariners;130K;Right;8;CAM
C. Fai;28;Cameroon;70;Standard de Liège;1.4M;Right;21;RB
J. Chapman;27;Canada;62;Inter Miami CF;425K;Right;14;CM
A. Ferati;23;Germany;66;Fortuna Sittard;1.4M;Left;19;LM
Guillermo;28;Spain;66;Burgos CF;875K;Right;9;ST
Iván Calero;26;Spain;67;Málaga CF;1.2M;Right;21;RB
R. Insigne;27;Italy;71;Benevento;2.2M;Left;19;CAM
Y. Gboho;20;France;69;Vitesse;3.1M;Right;20;RM
D. Prokop;24;Austria;65;SV Wehen Wiesbaden;1.1M;Right;24;RM
L. Đorđević;26;Montenegro;70;Vejle Boldklub;1.9M;Right;19;ST
I. Erquiaga;23;Argentina;68;Club Atlético Huracán;2.6M;Left;46;LB
M. Könnecke;32;Germany;62;FSV Zwickau;325K;Right;13;RM
M. Uhre;26;Denmark;72;Brøndby IF;2.9M;Right;11;ST
A. Pelmard;21;France;70;FC Basel 1893;3.7M;Right;21;CB
I. Drešević;24;Kosovo;68;SC Heerenveen;2.2M;Right;14;CB
J. Quiñónez;23;Ecuador;64;Sociedad Deportiva Aucas;1.2M;Right;28;CDM
A. Barreca;26;Italy;71;Lecce;2.1M;Left;30;LB
C. Operi;24;Côte d'Ivoire;65;KAA Gent;1M;Left;3;LWB
N. Bärkroth;29;Sweden;66;Djurgårdens IF;850K;Right;19;LW
A. Irving;21;Scotland;62;Türkgücü München;975K;Left;6;CAM
J. Taylor;22;England;62;Port Vale;800K;Right;17;CAM
20 Alejandro Rodríguez;27;Spain;70;Virtus Entella Chiavari;1.9M;Right;9;ST
N. Gallardo;23;Argentina;66;Club Atlético Colón;1.3M;Left;24;LWB
Olabe;25;Spain;68;SD Eibar;1.8M;Left;16;CAM
G. Byers;25;Scotland;66;Sheffield Wednesday;1.1M;Right;14;CM
D. Grétarsson;25;Iceland;65;Blackpool;1.3M;Left;23;CB
N. Celic;22;Austria;67;SV Darmstadt 98;1.9M;Left;43;CDM
K. Akpoguma;26;Nigeria;74;TSG Hoffenheim;4.6M;Right;25;CB
P. Mukairu;21;Nigeria;69;Antalyaspor;3.1M;Right;12;RM
J. Gammelby;26;Denmark;63;Brøndby IF;525K;Right;2;RWB
M. Jeahze;24;Sweden;67;Hammarby IF;1.5M;Left;5;LWB
M. Agu;28;Nigeria;69;Vitória de Guimarães;1.3M;Right;90;CB
20 Gustavo Hebling;23;Brazil;64;Portimonense SC;625K;Right;96;CM
A. Rodman;34;England;63;Bristol Rovers;180K;Right;33;RWB
R. Nouri;36;France;68;AC Ajaccio;400K;Right;5;RW
F. Avenatti;28;Uruguay;69;Royale Union Saint-Gilloise;1.4M;Left;90;ST
Javi Serrano;18;Spain;64;Atlético de Madrid;1.4M;Right;26;CDM
I. Henderson;36;England;64;Salford City;200K;Right;40;ST
R. Ledezma;20;United States;67;PSV;2.5M;Right;37;CAM
L. Emini;21;Switzerland;63;FC Luzern;1.1M;Right;31;CDM
Bruno Ramires;27;Brazil;65;Bengaluru FC;825K;Right;6;CDM
G. Mancini;25;Italy;80;Roma;26.5M;Right;23;CB
19 A. Barzagli;37;Italy;83;Juventus;1.7M;Right;15;CB
21 D. Nagy;25;Hungary;68;;0;Left;18;LM
C. O'Keeffe;23;Republic of Ireland;64;Rochdale;1.2M;Right;2;RWB
L. Shankland;25;Scotland;67;K Beerschot VA;1.3M;Right;17;ST
Luiz Felipe;24;Brazil;78;Lazio;26M;Right;3;CB
Neto Borges;24;Brazil;67;CD Tondela;1.4M;Left;3;LB
21 K. Soni;22;Cameroon;66;RC Celta de Vigo;1.9M;Left;35;ST
D. Ndoye;20;Switzerland;69;FC Basel 1893;3.1M;Right;27;RM
A. Jędrzejczyk;33;Poland;70;Legia Warszawa;750K;Right;55;CB
S. Eriksson;32;Sweden;66;IFK Göteborg;575K;Left;7;CDM
21 S. Wagstaff;30;England;62;Forest Green Rovers;350K;Right;21;RWB
S. Ameobi;29;England;71;Middlesbrough;1.8M;Left;21;RM
A. Da Cruz;24;Netherlands;67;Santos Laguna;1.6M;Right;9;ST
G. Chakvetadze;21;Georgia;69;KAA Gent;3.1M;Right;10;CAM
21 O. Khan;24;England;62;Tranmere Rovers;525K;Right;17;RM
D. Hylton;32;England;66;Luton Town;700K;Right;9;ST
21 Diego Ângelo;34;Brazil;71;Gençlerbirliği SK;600K;Left;6;CB
A. Spörle;25;Argentina;64;Dundee United;675K;Left;3;LB
21 T. Bijleveld;22;Netherlands;65;Heracles Almelo;1.1M;Left;8;CM
A. De Bruyn;27;Belgium;67;KAA Gent;1.2M;Right;12;CAM
J. Indacoechea;20;Argentina;65;Club Atlético Aldosivi;1.5M;Right;36;CM
M. Domínguez;21;Mexico;67;Club Tijuana;2.3M;Right;20;RM
F. Wadja;26;Cameroon;68;Stade Malherbe Caen;1.4M;Right;15;CB
E. Kwateng;24;France;72;FC Girondins de Bordeaux;3M;Right;25;RB
A. Belmonte;25;France;65;Grenoble Foot 38;900K;Right;8;CM
M. Ruggeri;18;Italy;65;US Salernitana 1919;1.7M;Left;3;LWB
21 J. Bunney;26;England;62;Grimsby Town;425K;Left;3;LB
20 S. Schuppan;32;Germany;67;FC Würzburger Kickers;500K;Left;27;CB
E. Tallig;21;Germany;64;TSV 1860 München;1.3M;Left;8;LM
N. Mbuku;19;France;71;Stade de Reims;4.4M;Left;11;LM
D. Kempe;35;Germany;66;SV Wehen Wiesbaden;275K;Left;25;CB
A. Cougo;25;Uruguay;66;Club Libertad;1.1M;Left;4;LB
O. John;29;Netherlands;71;Al Hazem;1.8M;Right;11;LM
G. Kyriakopoulos;25;Greece;69;U.S. Sassuolo Calcio;1.9M;Left;77;LWB
20 C. Rodríguez;24;Chile;67;CD Everton de Viña del Mar;900K;Right;29;RWB
A. Collins;24;Wales;64;Bristol Rovers;800K;Right;10;RM
Kiko Olivas;32;Spain;75;Real Valladolid CF;3.6M;Right;4;CB
21 N. Eardley;31;Wales;63;Barrow;350K;Right;29;RB
P. Šulc;20;Czech Republic;69;FC Viktoria Plzeň;3.1M;Right;31;RM
I. Bel Hassani;28;Morocco;67;RKC Waalwijk;1M;Left;11;RW
A. Hughes;29;Wales;69;Preston North End;1.2M;Left;16;CB
S. Salger;31;Germany;67;TSV 1860 München;700K;Left;6;CB
Lee Ho;36;Korea Republic;66;Ulsan Hyundai FC;170K;Right;35;CDM
R. Gumny;23;Poland;71;FC Augsburg;4M;Right;2;RWB
Vanderleiton;21;Brazil;72;Santos;2.4M;Right;4;CB
O. Albornoz;25;Colombia;69;Club Deportes Tolima;1.7M;Left;29;LM
T. Skarke;24;Germany;69;SV Darmstadt 98;1.9M;Right;27;RM
C. Gomes;20;France;65;Barnsley;1.6M;Right;17;CDM
H. Zuck;30;Germany;62;1. FC Kaiserslautern;350K;Left;21;LW
Jadson Vidigal;29;Brazil;72;Grêmio;2.3M;Right;9;ST
21 L. Quezada;24;Dominican Republic;65;Cádiz CF;1M;Left;33;LM
D. Bamba;26;Côte d'Ivoire;69;Altay SK;1.8M;Right;11;ST
19 M. Maâzou;29;Niger;66;Ohod Club;625K;Right;55;ST
M. Tavernier;22;England;70;Middlesbrough;3.6M;Left;7;LM
G. Bong;33;Cameroon;68;Nottingham Forest;625K;Left;13;LB
19 D. Diagné;23;Senegal;64;KAS Eupen;525K;Right;5;CDM
N. Wako;31;Japan;68;Avispa Fukuoka;875K;Left;22;LB
17 Bruno Henrique;25;Brazil;72;VfL Wolfsburg;2.5M;Right;16;RW
R. McLaughlin;26;Northern Ireland;63;Morecambe;575K;Right;2;RWB
A. Trouillet;20;France;67;AJ Auxerre;2.2M;Left;27;CAM
J. Żubrowski;29;Poland;64;Zagłębie Lubin;500K;Right;14;CDM
Róber;26;Spain;73;Levante Unión Deportiva;4M;Right;4;CB
L. Ugochukwu;17;France;63;Stade Rennais FC;1.2M;Right;26;CM
Leonardo;24;Brazil;70;Hebei FC;2.4M;Right;45;ST
K. Stewart;27;England;67;Blackpool;950K;Right;6;CDM
A. Erlingmark;23;Sweden;67;IFK Göteborg;1.4M;Right;19;CB
21 A. Ngando;26;France;68;AJ Auxerre;1.4M;Left;27;CAM
A. Marcus;21;Nigeria;68;Portimonense SC;2.7M;Left;99;ST
L. Lamprou;22;Greece;68;PAOK;1.9M;Right;97;ST
A. Bates;20;England;60;Walsall;600K;Right;16;RM
20 Y. El Ghanassy;28;Belgium;69;FC Nantes;1.1M;Right;40;CAM
20 A. Henríquez;25;Chile;70;Universidad de Chile;2.3M;Right;9;ST
R. Preißinger;24;Germany;64;FC Ingolstadt 04;800K;Left;6;LWB
Franquesa;24;Spain;70;Levante Unión Deportiva;3M;Left;3;LB
A. Mățan;21;Romania;69;Columbus Crew;3.1M;Right;20;RM
M. Bidstrup;20;Denmark;64;Brentford;1.3M;Right;28;CDM
21 I. Ezekiel;26;Nigeria;65;KV Kortrijk;900K;Right;39;ST
N. Barrios;23;Argentina;68;San Lorenzo de Almagro;1.9M;Right;28;CAM
A. Briançon;26;France;72;Nîmes Olympique;2.6M;Right;23;CB
M. Ingebrigtsen;24;Norway;64;Tromsø IL;800K;Left;10;LM
F. Mora;27;Chile;73;Portland Timbers;3.3M;Right;9;ST
J. Cabot;27;France;71;Angers SCO;2M;Right;11;RW
C. Evans;32;Wales;66;Preston North End;700K;Right;9;ST
G. Bellusci;31;Italy;69;AC Monza;950K;Right;6;CB
D. Jarvis;23;England;60;Wrexham AFC;500K;Right;12;RM
21 L. Dickmann;23;Italy;70;SPAL;2.1M;Right;41;RB
J. Wehrmann;22;Netherlands;66;FC Luzern;1.8M;Right;6;CM
Pepê;24;Brazil;77;FC Porto;16M;Right;11;RM
A. Zaroury;20;Belgium;68;Royal Charleroi S.C.;2.7M;Right;70;CAM
Y. Bourhane;22;Comoros;64;Go Ahead Eagles;1.3M;Left;24;CM
L. Mothiba;25;South Africa;71;RC Strasbourg Alsace;2.8M;Right;12;ST
Jordi Mboula;22;Spain;71;RCD Mallorca;4.2M;Right;7;RM
E. Zukanović;34;Bosnia and Herzegovina;71;Fatih Karagümrük S.K.;600K;Left;87;CB
André Silva;24;Brazil;69;FC Arouca;2.2M;Left;7;ST
I. Jebali;29;Tunisia;66;Odense Boldklub;850K;Right;7;CF
J. Lowe;29;England;64;Salford City;500K;Right;4;CDM
Alex Gorrín;27;Spain;66;Oxford United;800K;Right;6;CDM
M. Aydin;19;Germany;63;FC Schalke 04;1.1M;Right;38;RM
E. Cömert;23;Switzerland;71;FC Basel 1893;3.9M;Right;4;CB
R. Nyambe;23;Namibia;72;Blackburn Rovers;5M;Right;2;RB
R. Khedira;27;Germany;74;1. FC Union Berlin;4.3M;Right;8;CB
F. Heister;24;Germany;62;Viktoria Köln;500K;Right;17;RM
D. Simpson;34;England;68;Bristol City;450K;Right;2;CB
T. Fosu;25;Ghana;71;Brentford;2.4M;Right;24;RM
S. Dewaele;22;Belgium;67;AS Nancy Lorraine;1.5M;Right;28;CM
21 L. O'Neill;28;England;63;AFC Wimbledon;425K;Right;2;RWB
Rui Costa;25;Portugal;68;Santa Clara;1.8M;Right;77;ST
A. Urzi;21;Argentina;72;Club Atlético Banfield;5.5M;Left;11;LM
H. Çiftçi;23;Turkey;64;1. FC Kaiserslautern;1.2M;Left;6;CAM
K. Przybyłko;28;Poland;73;Philadelphia Union;3.1M;Right;23;ST
21 S. Emaná;26;Cameroon;65;Valencia CF;950K;Right;29;ST
M. Karbownik;20;Poland;68;Olympiacos CFP;2.5M;Right;33;LB
21 Bastos;29;Angola;77;Al Ain;9M;Right;3;CB
21 F. Margiotta;26;Italy;69;Chievo Verona;1.5M;Right;93;ST
M. Merghem;23;France;63;En Avant de Guingamp;750K;Left;21;CAM
Matheus Pereira;23;Brazil;67;FC Barcelona;2.3M;Left;47;CAM
21 V. Forren;32;Norway;69;SK Brann;900K;Left;3;CB
M. van Bergen;21;Netherlands;73;Stade de Reims;4.9M;Right;19;RM
A. Kalimuendo;19;France;73;Racing Club de Lens;6.5M;Right;15;ST
Igor Julião;26;Brazil;67;FC Vizela;1.1M;Right;14;RB
T. Kehinde;23;Nigeria;68;Randers FC;1.9M;Right;10;RM
H. Al Mansour;28;Saudi Arabia;64;Al Nassr;525K;Left;20;LB
G. Kvilitaia;27;Georgia;72;APOEL Nicosia FC;2.5M;Right;11;ST
G. Massey;28;England;63;Wigan Athletic;475K;Right;11;LM
F. Veseli;28;Albania;69;US Salernitana 1919;1.3M;Right;5;RB
P. Jaroszyński;26;Poland;65;US Salernitana 1919;825K;Left;4;CB
F. Macheda;29;Italy;72;Panathinaikos FC;2.3M;Right;9;ST
21 Alex Pinto;21;Portugal;69;SC Farense;2.7M;Right;78;CB
P. Ciurria;26;Italy;70;AC Monza;2M;Left;84;CAM
D. Rybchinskiy;22;Russia;70;FC Lokomotiv Moscow;3.6M;Right;94;RM
E. Millot;18;France;67;VfB Stuttgart;2.4M;Left;8;CAM
A. Prass;20;Austria;64;SK Sturm Graz;1.4M;Left;8;CAM
J. Mellish;23;England;63;Carlisle United;950K;Left;12;CM
K. Goudmijn;19;Netherlands;64;Sparta Rotterdam;1.5M;Right;18;CAM
Pablo Gozálbez;20;Spain;65;Valencia CF;1.7M;Right;38;CAM
N. Janvier;22;France;66;Vitória de Guimarães;1.9M;Right;98;CAM
N. Boujellab;22;Morocco;67;FC Ingolstadt 04;2.3M;Right;8;CAM
I. Cissé;27;Guinea;65;Seraing;725K;Right;44;CB
L. Grabban;33;England;70;Nottingham Forest;1M;Right;7;ST
O. Popescu;18;Romania;70;FCSB (Steaua);3.7M;Right;9;RM
A. Douvikas;21;Greece;69;FC Utrecht;3.2M;Right;18;ST
Rafinha;28;Brazil;68;Club The Strongest;1.2M;Right;12;ST
T. Hasegawa;27;Japan;68;Kawasaki Frontale;1.3M;Right;16;LW
21 K. Großkreutz;31;Germany;65;KFC Uerdingen 05;525K;Right;6;RB
J. Collins;26;Nigeria;70;SC Paderborn 07;1.6M;Left;29;LB
Y. Magnin;24;France;68;Clermont Foot 63;2.3M;Right;7;CDM
21 U. Spajić;27;Serbia;74;Feyenoord;3.9M;Right;25;CB
Tiago Araújo;20;Portugal;67;FC Arouca;2.7M;Left;78;LM
L. Sørensen;21;Denmark;63;Lincoln City;1.1M;Right;21;CM
L. Taylor;31;Montserrat;69;Nottingham Forest;1.2M;Right;33;ST
D. Andrew;30;England;66;Fleetwood Town;725K;Left;3;LWB
T. Viudez;31;Uruguay;70;Club Atlético Rentistas;1.3M;Right;45;CF
Kike Barja;24;Spain;73;CA Osasuna;4.8M;Right;11;RM
19 O. Kucher;35;Ukraine;73;Yukatel Kayserispor;950K;Right;50;CB
S. Rhein;23;Germany;67;F.C. Hansa Rostock;1.4M;Left;5;CDM
21 O. Çınar;24;Turkey;70;MKE Ankaragücü;2.2M;Left;10;CAM
21 D. Lischka;22;Czech Republic;71;AC Sparta Praha;2.6M;Left;13;CB
A. Al Hassan;24;Saudi Arabia;67;Al Nassr;1.9M;Right;19;CDM
S. Sidler;22;Switzerland;64;FC Luzern;1.3M;Right;34;RWB
A. Barreal;20;Argentina;65;FC Cincinnati;1.6M;Left;31;RW
E. Adebayo;23;England;68;Luton Town;1.9M;Right;11;ST
O. Solet;21;France;71;FC Red Bull Salzburg;3.9M;Right;22;CB
C. Ogilvie;25;England;67;Portsmouth;1.2M;Left;16;LWB
21 K. Harris;27;England;71;Sheffield Wednesday;2M;Right;7;LW
S. Sohm;20;Switzerland;65;Parma;1.5M;Right;19;CDM
J. Ramsey;20;England;68;Aston Villa;2.9M;Right;41;CAM
C. Austin;31;England;72;Queens Park Rangers;2M;Right;11;ST
P. Stolarski;25;Poland;66;Pogoń Szczecin;1M;Right;41;RM
N. Omladič;31;Slovenia;66;F.C. Hansa Rostock;700K;Left;21;RM
D. Avramovski;26;North Macedonia;68;Yukatel Kayserispor;1.6M;Left;96;CAM
E. Amenyido;23;Togo;67;FC St. Pauli;1.6M;Right;27;ST
19 K. Bakırcıoğlu;37;Sweden;65;Hammarby IF;140K;Right;10;CAM
A. El Kaabi;28;Morocco;69;Atakaş Hatayspor;1.4M;Left;25;ST
E. Aguirre;22;Mexico;70;Santos Laguna;3.6M;Right;19;ST
F. Sears;31;England;62;Colchester United;325K;Right;11;RW
J. Dilrosun;23;Netherlands;73;FC Girondins de Bordeaux;4.8M;Left;21;LM
A. Selmani;24;Kosovo;68;Hammarby IF;1.9M;Right;21;ST
C. Şahin;26;Turkey;67;Gazişehir Gaziantep F.K.;1.1M;Left;77;LW
J. Ayoví;33;Ecuador;69;Estudiantes de La Plata;900K;Right;19;ST
Vanderlei Cõembra;21;Brazil;71;Cuiabá;2M;Right;2;RB
20 F. Bahlouli;24;France;68;LOSC Lille;1.2M;Right;31;CAM
C. McLaughlin;29;Northern Ireland;65;;0;Right;2;RB
M. Kvesić;29;Bosnia and Herzegovina;65;Pohang Steelers;700K;Right;8;RW
20 L. Castaignos;26;Netherlands;67;Gyeongnam FC;900K;Right;9;ST
A. Roldan;24;El Salvador;65;Seattle Sounders FC;975K;Right;16;CDM
21 A. Rentería;27;Colombia;67;Club Independiente Santa Fe;1.1M;Right;17;ST
21 T. Eisfeld;27;Germany;67;VfL Bochum 1848;1.1M;Right;10;CAM
21 D. Alar;30;Austria;66;SK Rapid Wien;850K;Left;19;ST
J. Mateta;24;France;75;Crystal Palace;8.5M;Right;14;ST
21 A. Rodríguez;24;Argentina;64;Newell's Old Boys;900K;Right;14;CAM
M. Hilßner;26;Germany;63;Coventry City;575K;Left;33;CAM
J. Powell;27;England;63;Crawley Town;550K;Right;8;CM
G. Giorbelidze;25;Georgia;67;SG Dynamo Dresden;1.2M;Left;2;LWB
